name,poi
BELDEN TIMOTHY N,0.2
BOWEN JR RAYMOND M,0.5
HANNON KEVIN P,0.4
DELAINEY DAVID W,0.16
CAUSEY RICHARD A,0.47
HICKERSON GARY J,0.39
FREVERT MARK A,0.74
CHAN RONNIE,0.0
DONAHUE JR JEFFREY M,0.24
REYNOLDS LAWRENCE,0.05
HORTON STANLEY C,0.04
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.15
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.31
PIRO JIM,0.01
DETMERING TIMOTHY J,0.04
KISHKILL JOSEPH G,0.2
BAY FRANKLIN R,0.13
PRENTICE JAMES,0.0
TOTAL,0.7
FALLON JAMES B,0.45
METTS MARK,0.14
WODRASKA JOHN,0.02
MORDAUNT KRISTINA M,0.01
CARTER REBECCA C,0.08
BHATNAGAR SANJAY,0.45
WALTERS GARETH W,0.01
BIBI PHILIPPE A,0.09
SHERRIFF JOHN R,0.24
GIBBS DANA R,0.0
LINDHOLM TOD A,0.07
MCMAHON JEFFREY,0.48
