name,poi
BELDEN TIMOTHY N,0.32
BOWEN JR RAYMOND M,0.28
HANNON KEVIN P,0.46
DELAINEY DAVID W,0.08
CAUSEY RICHARD A,0.48
HICKERSON GARY J,0.3
FREVERT MARK A,0.62
CHAN RONNIE,0.0
DONAHUE JR JEFFREY M,0.22
REYNOLDS LAWRENCE,0.07
HORTON STANLEY C,0.12
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.02
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.43
PIRO JIM,0.0
DETMERING TIMOTHY J,0.05
KISHKILL JOSEPH G,0.2
BAY FRANKLIN R,0.15
PRENTICE JAMES,0.0
TOTAL,0.76
FALLON JAMES B,0.31
METTS MARK,0.04
WODRASKA JOHN,0.02
MORDAUNT KRISTINA M,0.0
CARTER REBECCA C,0.04
BHATNAGAR SANJAY,0.12
WALTERS GARETH W,0.01
BIBI PHILIPPE A,0.17
SHERRIFF JOHN R,0.36
GIBBS DANA R,0.0
LINDHOLM TOD A,0.08
MCMAHON JEFFREY,0.42
