name,poi
BELDEN TIMOTHY N,0.44
BOWEN JR RAYMOND M,0.59
HANNON KEVIN P,0.53
DELAINEY DAVID W,0.07
CAUSEY RICHARD A,0.17
HICKERSON GARY J,0.47
FREVERT MARK A,0.65
CHAN RONNIE,0.0
DONAHUE JR JEFFREY M,0.05
REYNOLDS LAWRENCE,0.07
HORTON STANLEY C,0.01
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.17
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.4
PIRO JIM,0.0
DETMERING TIMOTHY J,0.0
KISHKILL JOSEPH G,0.29
BAY FRANKLIN R,0.12
PRENTICE JAMES,0.0
TOTAL,0.73
FALLON JAMES B,0.47
METTS MARK,0.09
WODRASKA JOHN,0.04
MORDAUNT KRISTINA M,0.02
CARTER REBECCA C,0.01
BHATNAGAR SANJAY,0.51
WALTERS GARETH W,0.03
BIBI PHILIPPE A,0.09
SHERRIFF JOHN R,0.4
GIBBS DANA R,0.0
LINDHOLM TOD A,0.1
MCMAHON JEFFREY,0.61
